Time resolution is 1 ps
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1848438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1858438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1868438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1878438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1888438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1898438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1908438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1918438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[5]_rep__0/TChk170_47700 at time 1928419 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1928438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1938438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1948438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1958438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1968438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1978438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1988438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1998438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 2008438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 2018438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 2028438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
